title,artist,sitter,gender,size,objectType,place,date,thumbnail,mediaURLs
Charles Cotesworth Pinckney,"John Trumbull, 6 Jun 1756 - 10 Nov 1843","Charles Cotesworth Pinckney, 25 Feb 1746 - 25 Aug 1825",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1791""}","https://ids.si.edu/ids/iiif/NPG-NPG_2007_212/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2007_212]
Charles Cotesworth Pinckney,Unidentified Artist,"Charles Cotesworth Pinckney, 25 Feb 1746 - 25 Aug 1825",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1796""}","https://ids.si.edu/ids/iiif/NPG-NPG_92_122Pinckney-000002/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_92_122Pinckney-000002]
Charles Willson Peale Self-Portrait,"Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827","Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1791""}","https://ids.si.edu/ids/iiif/NPG-NPG_89_205/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_89_205]
Col. George Gibbs III,"John Vanderlyn, 15 Oct 1775 - 23 Sep 1852","George Gibbs, 1776 - 1833",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1806-08""}","https://ids.si.edu/ids/iiif/NPG-NPG_2020_42Gibbs-000002/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2020_42Gibbs-000002]
Col. Josiah Parker,"John Ramage, born Dublin, Ireland ca. 1748-died Montreal, Quebec, Canada 1802",Col. Josiah Parker,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1789""}","https://ids.si.edu/ids/iiif/SAAM-1957.3.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1957.3.3_1]
"Col. Lewis Morris, IV",Unidentified Artist,"Col. Lewis Morris IV, 1752? - 1824",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1800""}","https://ids.si.edu/ids/iiif/NPG-9500236A_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-9500236A_1]
Col. Nathaniel Darby,Unidentified,Col. Nathaniel Darby,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1798""}","https://ids.si.edu/ids/iiif/SAAM-1999.87.7A_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.7A_1]
Colonel Benjamin Stephenson,Unidentified,Benjamin Stephenson,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1800""}","https://ids.si.edu/ids/iiif/SAAM-1976.56_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1976.56_1]
Colonel John Cox,"Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827",John Cox,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1778""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.32_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.32_1]
Colonial Soldier,Unidentified,unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1770""}","https://ids.si.edu/ids/iiif/SAAM-1950.4.14_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.14_1]
