title,artist,sitter,gender,size,objectType,place,date,thumbnail,mediaURLs
Mrs. John Corlis (Susannah Condé Russell),"Edward Greene Malbone, born Newport, RI 1777-died Savannah, GA 1807",Mrs. John Corlis,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1795""}","https://ids.si.edu/ids/iiif/SAAM-1980.29.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.29.2_1]
Mrs. John McCluney,"James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831",Mrs. John Mc Cluney,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1950.12.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.12.3_1]
Mrs. Joseph Manigault (Charlotte Drayton),"Edward Greene Malbone, born Newport, RI 1777-died Savannah, GA 1807","Mrs. Joseph Manigault
Charlotte Drayton",female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1801""}","https://ids.si.edu/ids/iiif/SAAM-1970.296_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1970.296_1]
Mrs. Joseph Wright,"Ralph Earl, born Worcester County, MA 1751-died Bolton, CT 1801","Mrs. Joseph Wright
Hannah Wright",female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1792""}","https://ids.si.edu/ids/iiif/SAAM-1975.49.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.49.2_1]
Mrs. Philip John Schuyler (Catherine van Rensselaer),"Walter Robertson, Irish, born Dublin, Ireland ca. 1750-died Fatehpur, India 1801/02","Mrs. Philip van Rensselaer Schuyler
Mrs. Philip van Rensselaer Schuyler",female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.43_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.43_1]
Mrs. Richard Alsop,"Ralph Earl, born Worcester County, MA 1751-died Bolton, CT 1801","Mary Alsop
Mrs. Richard Alsop",female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1792""}","https://ids.si.edu/ids/iiif/SAAM-1975.49.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.49.1_1]
Mrs. Richard Yates,Unidentified,"Mrs. Richard Yates
Catherine Brass",female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1790""}","https://ids.si.edu/ids/iiif/SAAM-1956.1.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.1.2_1]
Mrs. Thomas Wilson,"Charles Robertson, Irish, born Dublin, Ireland 1759-died Dublin, Ireland 1821",Mrs. Thomas Wilson,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1800""}","https://ids.si.edu/ids/iiif/SAAM-1944.7.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1944.7.5_1]
Mrs. William Boswell Lamb (Margaret Stuart Kerr),Unidentified,"Margaret Lamb
Mrs. R. William Lamb",female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1980.126.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.126.5_1]
Nur Jahan,Unidentified,Nur Jahan,female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1770""}","https://ids.si.edu/ids/iiif/SAAM-1929.8.352_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1929.8.352_1]
Patience Lovell Wright,,"Patience Lovell Wright, 1725 - 23 Mar 1786",female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1782""}","https://ids.si.edu/ids/iiif/NPG-8600336A_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-8600336A_1]
Peter Boylston Adams?,"John Singleton Copley, born Boston, MA 1738-died 1815 London, England",Peter Boylston Adams,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1765-1770""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.7_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.7_1]
Portrait of Adelia Ellender,"Joshua Johnson, born Baltimore County, MD ca.1763-died Ann Arundel County, MD ca. 1825",Adelia Ellender,female,Regular,"{""Type"": ""Painting\nFolk Art""}",,"{""Date"": ""ca. 1803-1805""}","https://ids.si.edu/ids/iiif/SAAM-1983.95.55_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1983.95.55_1]
Portrait of Edward Shippen Burd of Philadelphia,"Rembrandt Peale, born PA 1778-died Philadelphia, PA 1860",Edward Shippen Burd,male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1806-1808""}","https://ids.si.edu/ids/iiif/SAAM-1971.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1971.3_1]
Portrait of General Giles,"Joseph Wright, born Bordentown, NJ 1756-died Philadelphia, PA 1793",General Giles,male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1785""}","https://ids.si.edu/ids/iiif/SAAM-1975.75_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.75_1]
Portrait of Mrs. Barbara Baker Murphy (Wife of Sea Captain),"Joshua Johnson, born Baltimore County, MD ca.1763-died Ann Arundel County, MD ca. 1825",Barbara Baker Murphy,male,Regular,"{""Type"": ""Painting\nFolk Art""}",,"{""Date"": ""ca. 1810""}","https://ids.si.edu/ids/iiif/SAAM-1983.95.56_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1983.95.56_1]
Portrait of Mrs. Robert Kermit,,Mrs. Robert Kermit,female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1790""}","https://ids.si.edu/ids/iiif/SAAM-1970.76_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1970.76_1]
Portrait of Sea Captain John Murphy,"Joshua Johnson, born Baltimore County, MD ca.1763-died Ann Arundel County, MD ca. 1825",John Murphy,male,Regular,"{""Type"": ""Painting\nFolk Art""}",,"{""Date"": ""ca. 1810""}","https://ids.si.edu/ids/iiif/SAAM-1983.95.57_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1983.95.57_1]
Portrait of a Baby Boy,Unidentified,"unidentified
unidentified",male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.59.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.59.2_1]
Portrait of a Boy,Unidentified (Italian),unidentified,male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1800""}","https://ids.si.edu/ids/iiif/SAAM-1956.11.41_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.11.41_1]
Portrait of a Child,"Raphaelle Peale, born Annapolis, MD 1774-died Philadelphia, PA 1825","unidentified
unidentified",female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1800""}","https://ids.si.edu/ids/iiif/SAAM-1963.9.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1963.9.5_1]
Portrait of a Connecticut Clockmaker,,unidentified,male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1800""}","https://ids.si.edu/ids/iiif/SAAM-1967.136.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1967.136.2_1]
Portrait of a Connecticut Clockmaker's Wife,,unidentified,female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1800""}","https://ids.si.edu/ids/iiif/SAAM-1967.136.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1967.136.3_1]
Portrait of a Gentleman,Unidentified (British),unidentified,male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1800""}","https://ids.si.edu/ids/iiif/SAAM-1956.11.42_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.11.42_1]
Portrait of a Gentleman,Unidentified,unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1780-1790""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.34_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.34_1]
Portrait of a Gentleman,Unidentified,unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}","https://ids.si.edu/ids/iiif/SAAM-1979.152_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1979.152_1]
Portrait of a Gentleman,"Raphaelle Peale, born Annapolis, MD 1774-died Philadelphia, PA 1825",unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}","https://ids.si.edu/ids/iiif/SAAM-1950.4.6_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.6_1]
Portrait of a Gentleman,"James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831",unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1800""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.37_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.37_1]
Portrait of a Gentleman,"Henry Benbridge, born Philadelphia, PA 1743-died Philadelphia, PA 1812",unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.45_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.45_1]
Portrait of a Gentleman,Unidentified,unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1790""}","https://ids.si.edu/ids/iiif/SAAM-1975.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.5_1]
Portrait of a Gentleman,"Walter Robertson, Irish, born Dublin, Ireland ca. 1750-died Fatehpur, India 1801/02",unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1796""}","https://ids.si.edu/ids/iiif/SAAM-1936.6.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1936.6.1_1]
Portrait of a Gentleman,Unidentified (Puerto Rican),unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1810""}","https://ids.si.edu/ids/iiif/SAAM-1996.91.27_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.27_1]
Portrait of a Gentleman,Unidentified,unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1800""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.78_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.78_1]
Portrait of a Gentleman,"P. E. Stroëhling, Russian, born Dusseldorf, Germany 1768-died London, England ca. 1826",unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1800""}","https://ids.si.edu/ids/iiif/SAAM-1946.9.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1946.9.3_1]
Portrait of a Gentleman,"John Trumbull, born Lebanon, CT 1756-died New York City 1843",unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1790""}","https://ids.si.edu/ids/iiif/SAAM-1984.64_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1984.64_1]
Portrait of a Gentleman,Unidentified,unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.59.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.59.1_1]
Portrait of a Gentleman,"Alexander Robertson, born Aberdeen, Scotland-died New York City 1841",unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1942.10.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.10.3_1]
Portrait of a Gentleman,"James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831",unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1789""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.36_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.36_1]
Portrait of a Gentleman,"James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831",unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1793""}","https://ids.si.edu/ids/iiif/SAAM-2012.21_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-2012.21_1]
Portrait of a Gentleman,Unidentified,unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1959.7.22_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1959.7.22_1]
Portrait of a Gentleman with Initials A.S.N.,"Jean Francois De Vallee, active 1794-1828",unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}","https://ids.si.edu/ids/iiif/SAAM-1941.5.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1941.5.1_1]
Portrait of a Gentleman with Initials C. B.,Unidentified,unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1980.95.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.95.2_1]
Portrait of a Gentleman with Initials G. D.,"Raphaelle Peale, born Annapolis, MD 1774-died Philadelphia, PA 1825",G. D.,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}","https://ids.si.edu/ids/iiif/SAAM-1942.7.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.7.2_1]
Portrait of a Gentleman with Initials H. D. C.,Unidentified,unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1980.95.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.95.1_1]
Portrait of a Gentleman with Initials J. B.,"Benjamin Trott, born Boston, MA ca. 1770-died Washington, DC 1843",unidentified,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1954.6.4_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1954.6.4_1]
Portrait of a Lady,Unidentified,unidentified,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""late 18th century""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.63_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.63_1]
Portrait of a Lady,,"unidentified
unidentified",female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1800""}","https://ids.si.edu/ids/iiif/SAAM-1959.7.21_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1959.7.21_1]
Portrait of a Lady,Unidentified,"unidentified
unidentified
unidentified",female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1800""}","https://ids.si.edu/ids/iiif/SAAM-1966.4.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1966.4.2_1]
Portrait of a Lady,Unidentified (French),unidentified,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1775""}","https://ids.si.edu/ids/iiif/SAAM-1954.6.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1954.6.5_1]
Portrait of a Lady,Unidentified,unidentified,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1780""}","https://ids.si.edu/ids/iiif/SAAM-1979.153.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1979.153.2_1]
Portrait of a Lady,"William M. S. Doyle, born Boston, MA 1769-died Boston, MA 1828",unidentified,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1810""}","https://ids.si.edu/ids/iiif/SAAM-1954.6.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1954.6.3_1]
Portrait of a Lady from S. Carolina Huguenot Family,"Lawrence Sully, born Kilkenny, Ireland 1769-died Richmond, VA 1804",unidentified,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1950.4.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.5_1]
Portrait of a Man,"Jacob Eichholtz, born Lancaster, PA 1776-died Lancaster, PA 1842",unidentified,male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1809""}","https://ids.si.edu/ids/iiif/SAAM-1964.6.2_2/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1964.6.2_2]
Portrait of a Man,Unidentified,unidentified,male,Regular,"{""Type"": ""Painting\nFolk Art""}",,"{""Date"": ""early 19th century""}","https://ids.si.edu/ids/iiif/SAAM-1986.65.153_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1986.65.153_1]
Portrait of a Man,Unidentified (European),unidentified,male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1790""}","https://ids.si.edu/ids/iiif/SAAM-1979.5.10_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1979.5.10_1]
Portrait of a Man,,unidentified,male,Regular,"{""Type"": ""Painting\nFolk Art""}",,"{""Date"": ""early 19th century""}","https://ids.si.edu/ids/iiif/SAAM-1986.65.179_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1986.65.179_1]
Portrait of a Woman,"Jacob Eichholtz, born Lancaster, PA 1776-died Lancaster, PA 1842",unidentified,female,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1809""}","https://ids.si.edu/ids/iiif/SAAM-1964.6.1_2/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1964.6.1_2]
Portrait of a Young Lady,"William Verstille, born Boston, MA ca. 1755-died Boston, MA 1803",unidentified,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1790""}","https://ids.si.edu/ids/iiif/SAAM-1942.11.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.11.5_1]
Portrait of the Artist and His Wife,"William Leslie, English, born England before 1769-died London, England 1812","Mrs. William Leslie
William Leslie","female, male",Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1800-1812""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.24_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.24_1]
Retrato de caballero,"José Campeche y Jordán, born San Juan, Puerto Rico 1751-died San Juan, Puerto Rico 1809",unidentified,male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1805-1809""}","https://ids.si.edu/ids/iiif/SAAM-1996.91.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.3_1]
Reverend John Carroll,Unidentified Artist,"Rev. John Carroll, 8 Jan 1735 - 3 Dec 1815",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1809""}","https://ids.si.edu/ids/iiif/NPG-8900562A_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-8900562A_1]
Reverend Justus Henry Christian Helmuth,"John Eckstein, 1736 - 1817","Rev. Justus Henry Christian Helmuth, 16 May 1745 - 5 Feb 1825",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1795""}","https://ids.si.edu/ids/iiif/NPG-NPG_67_7Helmuth-000003/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_67_7Helmuth-000003]
Richard Bache,"John Hoppner, 1758 - 1810","Richard Bache, 1737 - 1811",male,Regular,"{""Type"": ""Painting""}","{""Place"": ""United Kingdom\\England\\Greater London\\London""}","{""Date"": ""1792-93""}","https://ids.si.edu/ids/iiif/NPG-NPG_2011_145Bache-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2011_145Bache-000001]
Richard Henry Lee,"Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827","Richard Henry Lee, 20 Jan 1732 - 19 Jun 1794",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1795-1805""}","https://ids.si.edu/ids/iiif/NPG-NPG_74_5/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_74_5]
Robert Broome,"Anson Dickinson, born Milton, CT 1779-died Litchfied, CT 1852",Robert Broome,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1810""}","https://ids.si.edu/ids/iiif/SAAM-1948.2.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1948.2.1_1]
Robert Hooper,"John Singleton Copley, born Boston, MA 1738-died 1815 London, England",Jr. Robert Hooper,male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""ca. 1770-1772""}","https://ids.si.edu/ids/iiif/SAAM-2006.12.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-2006.12.1_1]
Robert Morris,"Robert Edge Pine, c. 1730 - 1788","Robert Morris, 31 Jan 1734 - 8 May 1806",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1785""}","https://ids.si.edu/ids/iiif/NPG-NPG_73_20/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_73_20]
Robert Oliphant,"Raphaelle Peale, born Annapolis, MD 1774-died Philadelphia, PA 1825",Robert Oliphant,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1799""}","https://ids.si.edu/ids/iiif/SAAM-1942.2.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.2.2_1]
Rubens Peale,"Rembrandt Peale, 22 Feb 1778 - 3 Oct 1860","Rubens Peale, 1784 - 1865",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1807""}","https://ids.si.edu/ids/iiif/NPG-8600424A_2/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-8600424A_2]
Rubens Peale,"Raphaelle Peale, born Annapolis, MD 1774-died Philadelphia, PA 1825",Rubens Peale,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1800""}","https://ids.si.edu/ids/iiif/SAAM-1941.9.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1941.9.1_1]
Samuel Blodget,"John Trumbull, 6 Jun 1756 - 10 Nov 1843","Samuel Blodget, Jr., 28 Aug 1757 - 11 Apr 1814",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1784""}","https://ids.si.edu/ids/iiif/NPG-NPG_2013_29Blodget-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_29Blodget-000001]
Samuel Chase,"John Wesley Jarvis, 1780 - 14 Jan 1840","Samuel Chase, 17 Apr 1741 - 19 Jun 1811",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1811""}","https://ids.si.edu/ids/iiif/NPG-NPG_67_2Chase-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_67_2Chase-000001]
Samuel F. B. Morse Self-Portrait,"Samuel Finley Breese Morse, 27 Apr 1791 - 2 Apr 1872","Samuel Finley Breese Morse, 27 Apr 1791 - 2 Apr 1872",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1812""}","https://ids.si.edu/ids/iiif/NPG-NPG_80_208Morse_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_80_208Morse_d1]
"Samuel Love, Jr.","Robert Field, born Gloucestershire, England ca. 1769-died Kingston, Jamaica 1819",Jr. Samuel Love,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1800""}","https://ids.si.edu/ids/iiif/SAAM-1942.10.4_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.10.4_1]
Samuel Miles,"Gilbert Stuart, 3 Dec 1755 - 9 Jul 1828","Samuel Miles, 11 Mar 1740 - 6 Dec 1805",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1800""}","https://ids.si.edu/ids/iiif/NPG-NPG_2019_22-000002/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2019_22-000002]
Samuel Seabury,"Ralph Earl, 11 May 1751 - 16 Aug 1801","Samuel Seabury, 30 Nov 1729 - 25 Feb 1796",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1785""}","https://ids.si.edu/ids/iiif/NPG-NPG_84_171/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_84_171]
Samuel Smith,"Gilbert Stuart, 3 Dec 1755 - 9 Jul 1828","Samuel Smith, 27 Jul 1752 - 22 Apr 1839",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1800""}","https://ids.si.edu/ids/iiif/NPG-NPG_66_50Smith-000002/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_66_50Smith-000002]
Sir Guy Carelton,Unidentified (British),Guy Carleton,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1770""}","https://ids.si.edu/ids/iiif/SAAM-1950.4.20_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.20_1]
Susan Poinsett,"Edward Greene Malbone, born Newport, RI 1777-died Savannah, GA 1807",Susan Poinsett,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1801-1802""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.27_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.27_1]
Susanne Correy,"James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831",Susan Correy,female,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1790""}","https://ids.si.edu/ids/iiif/SAAM-1979.153.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1979.153.1_1]
