title,artist,objectType,place,date,mediaURLs,thumbnail
Benjamin Franklin,"{""Artist"": ""Joseph Siffred Duplessis, 22 Sep 1725 - 1 Apr 1802"", ""Sitter"": ""Benjamin Franklin, 17 Jan 1706 - 17 Apr 1790""}","{""Type"": ""Painting""}","{""Place"": ""France\\\u00cele-de-France\\Ville de Paris, D\u00e9partment de\\Paris""}","{""Date"": ""c. 1785""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_87_43],"https://ids.si.edu/ids/iiif/NPG-NPG_87_43/full/250,/0/default.jpg"
"Benjamin Harrison, Jr.","{""Artist"": ""Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827"", ""Sitter"": ""Benjamin Harrison, Jr., 1750? - 1799"", ""Formerly identified as"": ""Benjamin Harrison, Sr., 1726 - 1791""}","{""Type"": ""Painting""}",,"{""Date"": ""1783""}",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_65_109Harrison-000004],"https://ids.si.edu/ids/iiif/NPG-S_NPG_65_109Harrison-000004/full/250,/0/default.jpg"
"Benjamin Hurd, Jr.","{""Artist"": ""William M. S. Doyle, born Boston, MA 1769-died Boston, MA 1828"", ""Sitter"": ""Jr. Benjamin Hurd""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1804-1818""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.9_1],"https://ids.si.edu/ids/iiif/SAAM-1999.27.9_1/full/250,/0/default.jpg"
Benjamin Latrobe,"{""Artist"": ""Charles Frederick Von Breda, 16 Aug 1759 - 1 Dec 1818"", ""Sitter"": ""Benjamin Henry Latrobe, 1 May 1764 - 3 Sep 1820""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1790""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2011_64Latrobe_int],"https://ids.si.edu/ids/iiif/NPG-NPG_2011_64Latrobe_int/full/250,/0/default.jpg"
Benjamin West,"{""Attribution"": ""James Smith, 1749 - 1794"", ""Sitter"": ""Benjamin West, 10 Oct 1738 - 11 Mar 1820""}","{""Type"": ""Painting""}",,"{""Date"": ""1770""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_80_136West-000004],"https://ids.si.edu/ids/iiif/NPG-NPG_80_136West-000004/full/250,/0/default.jpg"
Betsey Colt Foot,"{""Artist"": ""Ezra Ames, 1768 - 1836"", ""Sitter"": ""Betsey Colt Foot, 1774 - 1847""}","{""Type"": ""Painting""}","{""Place"": ""United States\\New York\\Albany\\Albany""}","{""Date"": ""1815""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2016_132],"https://ids.si.edu/ids/iiif/NPG-NPG_2016_132/full/250,/0/default.jpg"
Brother-in-law of Mrs. Alexander Rose,"{""Artist"": ""Archibald Robertson, born Moneymusk, Scotland-died New York City 1835"", ""Sitter"": ""Brother-in-Law of Mrs. Alex. Rose""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1933.7.2_1],"https://ids.si.edu/ids/iiif/SAAM-1933.7.2_1/full/250,/0/default.jpg"
Caldwell Sister,"{""Artist"": ""Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827"", ""Sitter"": ""Caldwell""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1782""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.31.2_1],"https://ids.si.edu/ids/iiif/SAAM-1999.27.31.2_1/full/250,/0/default.jpg"
Caldwell Sister,"{""Artist"": ""Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827"", ""Sitter"": ""Caldwell""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1782""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.31.1_1],"https://ids.si.edu/ids/iiif/SAAM-1999.27.31.1_1/full/250,/0/default.jpg"
Capt. John Gassoway,"{""Artist"": ""Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827"", ""Sitter"": ""John Gassoway""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1790""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.33_1],"https://ids.si.edu/ids/iiif/SAAM-1999.27.33_1/full/250,/0/default.jpg"
Captain Charles McKnight,"{""Artist"": ""Jacob Frymire, born Lancaster County, PA ca. 1765-died Hamilton Township, PA 1822"", ""Sitter"": ""Charles Mc Knight""}","{""Type"": ""Painting""}",,"{""Date"": ""1800""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1968.137_1],"https://ids.si.edu/ids/iiif/SAAM-1968.137_1/full/250,/0/default.jpg"
Captain John H. Seward,"{""Artist"": ""Unidentified"", ""Sitter"": ""Captain John H. Seward""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1790""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1983.21_1],"https://ids.si.edu/ids/iiif/SAAM-1983.21_1/full/250,/0/default.jpg"
Captain Joseph Anthony,"{""Artist"": ""Walter Robertson, Irish, born Dublin, Ireland ca. 1750-died Fatehpur, India 1801/02"", ""Sitter"": ""Joseph Anthony""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1794""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1952.12.1_1],"https://ids.si.edu/ids/iiif/SAAM-1952.12.1_1/full/250,/0/default.jpg"
