title,artist,objectType,place,date,mediaURLs,thumbnail
George Fisher,"{""Artist"": ""Raphaelle Peale, born Annapolis, MD 1774-died Philadelphia, PA 1825"", ""Sitter"": ""George Fisher\nGeorge Fisher\nGeorge Fisher""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.24_1],"https://ids.si.edu/ids/iiif/SAAM-1950.4.24_1/full/250,/0/default.jpg"
George Read,"{""Artist"": ""Robert Edge Pine, c. 1730 - 1788"", ""Sitter"": ""George Read, 18 Sep 1733 - 21 Sep 1798""}","{""Type"": ""Painting""}",,"{""Date"": ""1784""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_72_4],"https://ids.si.edu/ids/iiif/NPG-NPG_72_4/full/250,/0/default.jpg"
George Rogers Clark,"{""Attribution"": ""C. D. Cook, active c. 1810"", ""Sitter"": ""Gen. George Rogers Clark, 19 Nov 1752 - 13 Feb 1818""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1810""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_69_48],"https://ids.si.edu/ids/iiif/NPG-NPG_69_48/full/250,/0/default.jpg"
George Washington,"{""Artist"": ""Rembrandt Peale, 22 Feb 1778 - 3 Oct 1860"", ""Sitter"": ""George Washington, 22 Feb 1732 - 14 Dec 1799""}","{""Type"": ""Painting""}",,"{""Date"": ""1795""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_65_59],"https://ids.si.edu/ids/iiif/NPG-NPG_65_59/full/250,/0/default.jpg"
George Washington,"{""Artist"": ""Robert Edge Pine, c. 1730 - 1788"", ""Sitter"": ""George Washington, 22 Feb 1732 - 14 Dec 1799""}","{""Type"": ""Painting""}",,"{""Date"": ""1785""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_80_16GW-000001],"https://ids.si.edu/ids/iiif/NPG-NPG_80_16GW-000001/full/250,/0/default.jpg"
George Washington,"{""depicted"": ""Washington, George"", ""maker"": ""Trumbull, John""}","{""Object Name"": ""Painting, Portrait"", ""Object Type"": ""portraits\npaintings""}",,"{""Date made"": ""circa 1793""}","[https://ids.si.edu/ids/deliveryService?id=NMAH-89-6827, https://ids.si.edu/ids/deliveryService?id=NMAH-89-6828, https://ids.si.edu/ids/deliveryService?id=SIA-89-6827]","https://ids.si.edu/ids/iiif/NMAH-89-6827/full/250,/0/default.jpg"
George Washington,"{""Attributed to"": ""William Winstanley, born England, active 1775-1806"", ""Sitter"": ""George Washington""}","{""Type"": ""Painting""}",,"{""Date"": ""1803?""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-XX108A_1],"https://ids.si.edu/ids/iiif/SAAM-XX108A_1/full/250,/0/default.jpg"
George Washington,"{""Artist"": ""Ellen Wallace Sharples, 1769 - 1849"", ""Copy after"": ""James Sharples, c. 1751 - 1811"", ""Sitter"": ""George Washington, 22 Feb 1732 - 14 Dec 1799""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1803""}","[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_142GW-000001, https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_142GW_int, https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_142versoGW_int]","https://ids.si.edu/ids/iiif/NPG-NPG_2013_142GW-000001/full/250,/0/default.jpg"
George Washington,"{""Artist"": ""Unidentified Artist"", ""Copy after"": ""Gilbert Stuart, 3 Dec 1755 - 9 Jul 1828"", ""Sitter"": ""George Washington, 22 Feb 1732 - 14 Dec 1799""}","{""Type"": ""Painting""}",,"{""Date"": ""after 1796""}","[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_140GW-000001, https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_140versoGW_int]","https://ids.si.edu/ids/iiif/NPG-NPG_2013_140GW-000001/full/250,/0/default.jpg"
George Washington,"{""Artist"": ""William Clarke, active 1785 - 1806"", ""Sitter"": ""George Washington, 22 Feb 1732 - 14 Dec 1799""}","{""Type"": ""Painting""}","{""Place"": ""United States\\Pennsylvania\\Philadelphia""}","{""Date"": ""1800""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2012_90GW-000001],"https://ids.si.edu/ids/iiif/NPG-NPG_2012_90GW-000001/full/250,/0/default.jpg"
George Washington (Lansdowne Portrait),"{""Artist"": ""Gilbert Stuart, 3 Dec 1755 - 9 Jul 1828"", ""Sitter"": ""George Washington, 22 Feb 1732 - 14 Dec 1799""}","{""Type"": ""Painting""}","{""Place"": ""United States\\Pennsylvania\\Franklin\\Germantown""}","{""Date"": ""1796""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2001_13_ext],"https://ids.si.edu/ids/iiif/NPG-NPG_2001_13_ext/full/250,/0/default.jpg"
Helen Brought to Paris,"{""Artist"": ""Benjamin West, born Springfield, PA 1738-died London, England 1820""}","{""Type"": ""Painting""}",,"{""Date"": ""1776""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1969.33_1],"https://ids.si.edu/ids/iiif/SAAM-1969.33_1/full/250,/0/default.jpg"
Henry B. Bounetheau's Aunt,"{""Artist"": ""Edward Greene Malbone, born Newport, RI 1777-died Savannah, GA 1807"", ""Sitter"": ""aunt Henry B. Bounetheau""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1804""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1946.3.16_1],"https://ids.si.edu/ids/iiif/SAAM-1946.3.16_1/full/250,/0/default.jpg"
Henry Cruger,"{""Attribution"": ""Luke Sullivan, 1705 - 1771"", ""Sitter"": ""Henry Cruger, 22 Nov 1739 - 24 Apr 1827""}","{""Type"": ""Painting""}",,"{""Date"": ""1770""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_81_117Cruger-000001],"https://ids.si.edu/ids/iiif/NPG-NPG_81_117Cruger-000001/full/250,/0/default.jpg"
Henry Knox,"{""Artist"": ""Charles Peale Polk, 17 Mar 1767 - 6 May 1822"", ""Copy after"": ""Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827"", ""Sitter"": ""Henry Knox, 25 Jul 1750 - 25 Oct 1806""}","{""Type"": ""Painting""}",,"{""Date"": ""after 1783""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_73_11],"https://ids.si.edu/ids/iiif/NPG-NPG_73_11/full/250,/0/default.jpg"
Henry Laurens,"{""Artist"": ""John Singleton Copley, 3 Jul 1738 - 9 Sep 1815"", ""Sitter"": ""Henry Laurens, 6 Mar 1724 - 8 Dec 1792""}","{""Type"": ""Painting""}",,"{""Date"": ""1782""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_65_45Laurens_d1],"https://ids.si.edu/ids/iiif/NPG-NPG_65_45Laurens_d1/full/250,/0/default.jpg"
Hermia and Helena,"{""Artist"": ""Washington Allston, born Georgetown, SC 1779-died Cambridgeport, MA 1843"", ""Sitter"": ""Hermia\nHelena""}","{""Type"": ""Painting""}",,"{""Date"": ""before 1818""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1990.21_1],"https://ids.si.edu/ids/iiif/SAAM-1990.21_1/full/250,/0/default.jpg"
Horatio Gates,"{""Artist"": ""James Peale, 1749 - 24 May 1831"", ""Copy after"": ""Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827"", ""Sitter"": ""Horatio Gates, 1727 - 1806""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1782""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_69_50],"https://ids.si.edu/ids/iiif/NPG-NPG_69_50/full/250,/0/default.jpg"
Howes Goldsborough,"{""Artist"": ""James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831"", ""Sitter"": ""Howes Goldsborough""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1799""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1948.5.1_1],"https://ids.si.edu/ids/iiif/SAAM-1948.5.1_1/full/250,/0/default.jpg"
Isaac Praul,"{""Artist"": ""Lewis Aubineau, active 1799-1814"", ""Sitter"": ""Isaac Praul""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.15_1],"https://ids.si.edu/ids/iiif/SAAM-1950.4.15_1/full/250,/0/default.jpg"
Isabel O'Daly,"{""Artist"": ""Jos\u00e9 Campeche y Jord\u00e1n, born San Juan, Puerto Rico 1751-died San Juan, Puerto Rico 1809"", ""Sitter"": ""Isabel O'Daly""}","{""Type"": ""Painting""}",,"{""Date"": ""1808""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.2_1],"https://ids.si.edu/ids/iiif/SAAM-1996.91.2_1/full/250,/0/default.jpg"
"James Cunningham, Last Earl of Glencairn","{""Artist"": ""Unidentified (British)"", ""Sitter"": ""James Cunningham""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1790""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1951.3.8_1],"https://ids.si.edu/ids/iiif/SAAM-1951.3.8_1/full/250,/0/default.jpg"
James Madison,"{""Artist"": ""Thomas Sully, 19 Jun 1783 - 5 Nov 1872"", ""Derived from"": ""Gilbert Stuart, 3 Dec 1755 - 9 Jul 1828"", ""Sitter"": ""James Madison, 16 Mar 1751 - 28 Jun 1836""}","{""Type"": ""Painting""}",,"{""Date"": ""1809""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2019_32-000001],"https://ids.si.edu/ids/iiif/NPG-NPG_2019_32-000001/full/250,/0/default.jpg"
James Rumsey,"{""Attributed to"": ""George William West, born St. Andrew's Parish, MD 1770-died 1795"", ""Sitter"": ""James Rumsey""}","{""Type"": ""Painting""}",,"{""Date"": ""ca. 1790""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1957.11.2_1],"https://ids.si.edu/ids/iiif/SAAM-1957.11.2_1/full/250,/0/default.jpg"
James Smithson,"{""Artist"": ""James Roberts, 1753 - c. 1809"", ""Sitter"": ""James Smithson, c. 1765 - 1829""}","{""Type"": ""Painting""}","{""Place"": ""United Kingdom\\England""}","{""Date"": ""1786""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_96_28Smithson1L-000001],"https://ids.si.edu/ids/iiif/NPG-NPG_96_28Smithson1L-000001/full/250,/0/default.jpg"
James Wilson,"{""Artist"": ""Jean Pierre Henri Elouis, French, born Caen, France 1755-died Caen, France 1840"", ""Sitter"": ""James Wilson""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1792""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1952.3.3_1],"https://ids.si.edu/ids/iiif/SAAM-1952.3.3_1/full/250,/0/default.jpg"
Jane Gray Wall,"{""Artist"": ""Joseph Francis Burrell, English, born 1770-died after 1854"", ""Sitter"": ""Jane Gray Wall""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.3_1],"https://ids.si.edu/ids/iiif/SAAM-1999.87.3_1/full/250,/0/default.jpg"
Jane Stone,"{""Artist"": ""Benjamin Trott, born Boston, MA ca. 1770-died Washington, DC 1843"", ""Sitter"": ""Jane Stone""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1805""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1934.11.1_1],"https://ids.si.edu/ids/iiif/SAAM-1934.11.1_1/full/250,/0/default.jpg"
Jeremiah Williams,"{""Artist"": ""Christian Gullager, born Copenhagen, Denmark 1759-died Philadelphia, PA 1826"", ""Sitter"": ""Jeremiah Williams""}","{""Type"": ""Painting""}",,"{""Date"": ""ca. 1789-1790""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1977.101.1_2],"https://ids.si.edu/ids/iiif/SAAM-1977.101.1_2/full/250,/0/default.jpg"
Joel Barlow,"{""Artist"": ""William Dunlap, 18 Feb 1766 - 28 Sep 1839"", ""Sitter"": ""Joel Barlow, 24 Mar 1754 - 26 Dec 1812""}","{""Type"": ""Painting""}",,"{""Date"": ""1806""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_76_30],"https://ids.si.edu/ids/iiif/NPG-NPG_76_30/full/250,/0/default.jpg"
Joel Barlow,"{""Artist"": ""Robert Fulton, 14 Nov 1765 - 25 Feb 1815"", ""Sitter"": ""Joel Barlow, 24 Mar 1754 - 26 Dec 1812""}","{""Type"": ""Painting""}",,"{""Date"": ""1805""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_83_249],"https://ids.si.edu/ids/iiif/NPG-NPG_83_249/full/250,/0/default.jpg"
John Adams,"{""Artist"": ""John Trumbull, 6 Jun 1756 - 10 Nov 1843"", ""Former attribution"": ""Gilbert Stuart, 3 Dec 1755 - 9 Jul 1828"", ""Sitter"": ""John Adams, 30 Oct 1735 - 4 Jul 1826""}","{""Type"": ""Painting""}","{""Place"": ""United States\\Pennsylvania\\Philadelphia\\Philadelphia""}","{""Date"": ""1793""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_75_52],"https://ids.si.edu/ids/iiif/NPG-NPG_75_52/full/250,/0/default.jpg"
John Dallas,"{""Artist"": ""Unidentified"", ""Sitter"": ""John Dallas""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1801""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.80_1],"https://ids.si.edu/ids/iiif/SAAM-1999.27.80_1/full/250,/0/default.jpg"
John Ewing,"{""Artist"": ""Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827"", ""Sitter"": ""John Ewing, 1732 - 1802""}","{""Type"": ""Painting""}","{""Place"": ""United States\\Pennsylvania\\Philadelphia\\Philadelphia""}","{""Date"": ""1788""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2001_15],"https://ids.si.edu/ids/iiif/NPG-NPG_2001_15/full/250,/0/default.jpg"
John Howard Payne,"{""Artist"": ""John Wesley Jarvis, 1780 - 14 Jan 1840"", ""Sitter"": ""John Howard Payne, 9 Jun 1791 - 10 Apr 1852""}","{""Type"": ""Painting""}","{""Place"": ""United States\\Maryland\\Baltimore Independent City\\Baltimore""}","{""Date"": ""1812""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2019_28-000001],"https://ids.si.edu/ids/iiif/NPG-NPG_2019_28-000001/full/250,/0/default.jpg"
John Jauncey Ketchum,"{""Artist"": ""Walter Robertson, Irish, born Dublin, Ireland ca. 1750-died Fatehpur, India 1801/02"", ""Sitter"": ""John Jauncey Ketchum""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1986.64.1_1],"https://ids.si.edu/ids/iiif/SAAM-1986.64.1_1/full/250,/0/default.jpg"
John Laurens,"{""Artist"": ""Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827"", ""Sitter"": ""John Laurens, 28 Oct 1754 - 27 Aug 1782""}","{""Type"": ""Painting""}",,"{""Date"": ""1780""}","[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2009_111, https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2009_111reverse]","https://ids.si.edu/ids/iiif/NPG-NPG_2009_111/full/250,/0/default.jpg"
John Marshall,"{""Artist"": ""Cephas Thompson, 1 Jul 1775 - 6 Nov 1856"", ""Sitter"": ""John Marshall, 24 Sep 1755 - 6 Jul 1835""}","{""Type"": ""Painting""}",,"{""Date"": ""1809-10""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2010_48_ext],"https://ids.si.edu/ids/iiif/NPG-NPG_2010_48_ext/full/250,/0/default.jpg"
John Paul Jones,"{""Artist"": ""Unidentified Artist"", ""Former attribution"": ""Charlotte-Marguerite de Bourbon, Comtesse de Lowendahl, 1754 - 1839"", ""Sitter"": ""John Paul Jones, 6 Jul 1747 - 18 Jul 1792""}","{""Type"": ""Painting""}",,"{""Date"": ""1780""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_73_10Jones_int],"https://ids.si.edu/ids/iiif/NPG-NPG_73_10Jones_int/full/250,/0/default.jpg"
John Quincy Adams,"{""Artist"": ""Pieter Van Huffel, 1769 - 1844"", ""Sitter"": ""John Quincy Adams, 11 Jul 1767 - 23 Feb 1848""}","{""Type"": ""Painting""}","{""Place"": ""Belgi\u00eb\\Vlaanderen\\Oost-Vlaanderen\\Ghent""}","{""Date"": ""1815""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_70_12Adams-000002],"https://ids.si.edu/ids/iiif/NPG-NPG_70_12Adams-000002/full/250,/0/default.jpg"
John Quincy Adams,"{""Artist"": ""Unidentified"", ""Sitter"": ""John Quincy Adams""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""early 19th century""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.58_1],"https://ids.si.edu/ids/iiif/SAAM-1999.27.58_1/full/250,/0/default.jpg"
John Randolph,"{""Artist"": ""John Wesley Jarvis, 1780 - 14 Jan 1840"", ""Sitter"": ""John Randolph, 2 Jun 1773 - 24 May 1833""}","{""Type"": ""Painting""}",,"{""Date"": ""1811""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_70_246Randolph_d1],"https://ids.si.edu/ids/iiif/NPG-NPG_70_246Randolph_d1/full/250,/0/default.jpg"
John Rutledge,"{""Attribution"": ""John Trumbull, 6 Jun 1756 - 10 Nov 1843"", ""Sitter"": ""John Rutledge, 1739 - 18 Jul 1800""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1791""}",[https://ids.si.edu/ids/deliveryService?id=NPG-9700390A_1],"https://ids.si.edu/ids/iiif/NPG-9700390A_1/full/250,/0/default.jpg"
John Sergeant,"{""Artist"": ""Thomas Sully, 19 Jun 1783 - 5 Nov 1872"", ""Sitter"": ""John Sergeant, 5 Dec 1779 - 25 Nov 1852""}","{""Type"": ""Painting""}",,"{""Date"": ""1811""}",[https://ids.si.edu/ids/deliveryService?id=NPG-8400358A_1],"https://ids.si.edu/ids/iiif/NPG-8400358A_1/full/250,/0/default.jpg"
John Singleton Copley Self-Portrait,"{""Artist"": ""John Singleton Copley, 3 Jul 1738 - 9 Sep 1815"", ""Sitter"": ""John Singleton Copley, 3 Jul 1738 - 9 Sep 1815""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1780-84""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_77_22-000001],"https://ids.si.edu/ids/iiif/NPG-NPG_77_22-000001/full/250,/0/default.jpg"
John Swanwick,"{""Artist"": ""Matthew Pratt, born Philadelphia, PA 1734-died Philadelphia, PA 1805"", ""Sitter"": ""John Swanwick""}","{""Type"": ""Painting""}",,"{""Date"": ""ca. 1800""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-2010.16.2_1],"https://ids.si.edu/ids/iiif/SAAM-2010.16.2_1/full/250,/0/default.jpg"
John Tower,"{""Artist"": ""James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831"", ""Sitter"": ""John Tower""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1806""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.35_1],"https://ids.si.edu/ids/iiif/SAAM-1999.27.35_1/full/250,/0/default.jpg"
John Winthrop,"{""Artist"": ""Unidentified Artist"", ""Copy after"": ""Unidentified Artist"", ""Sitter"": ""John Winthrop, 1587/8 - 1649""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1800, after early 17th century original""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2004_1],"https://ids.si.edu/ids/iiif/NPG-NPG_2004_1/full/250,/0/default.jpg"
John Witherspoon,"{""Artist"": ""Rembrandt Peale, 22 Feb 1778 - 3 Oct 1860"", ""Copy after"": ""Charles Willson Peale, 15 Apr 1741 - 22 Feb 1827"", ""Sitter"": ""John Witherspoon, 5 Feb 1723 - 15 Nov 1794""}","{""Type"": ""Painting""}",,"{""Date"": ""1794""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_91_81Witherspoon_d1],"https://ids.si.edu/ids/iiif/NPG-NPG_91_81Witherspoon_d1/full/250,/0/default.jpg"
Jonas Phillips,"{""Artist"": ""Unidentified Artist"", ""Sitter"": ""Jonas Phillips, 1736 - 29 Jan 1803""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1790""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_97_189-000001],"https://ids.si.edu/ids/iiif/NPG-NPG_97_189-000001/full/250,/0/default.jpg"
Joseph Ball,"{""Artist"": ""Christian Gullager, born Copenhagen, Denmark 1759-died Philadelphia, PA 1826"", ""Sitter"": ""Joseph Ball""}","{""Type"": ""Painting""}",,"{""Date"": ""1798 -1805""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-2010.16.1_1],"https://ids.si.edu/ids/iiif/SAAM-2010.16.1_1/full/250,/0/default.jpg"
Joseph Curwen,"{""Artist"": ""Edward Greene Malbone, born Newport, RI 1777-died Savannah, GA 1807"", ""Sitter"": ""Joseph Curwen""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1804""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1984.2_1],"https://ids.si.edu/ids/iiif/SAAM-1984.2_1/full/250,/0/default.jpg"
Joseph Fox,"{""Artist"": ""Unidentified"", ""Sitter"": ""Joseph Fox""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1790s""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.68_1],"https://ids.si.edu/ids/iiif/SAAM-1999.27.68_1/full/250,/0/default.jpg"
Joseph Galloway,"{""Attribution"": ""Thomas Day, c. 1732 - c. 1807"", ""Sitter"": ""Joseph Galloway, 1731 - 29 Aug 1803""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1775""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_92_33_int-000001],"https://ids.si.edu/ids/iiif/NPG-NPG_92_33_int-000001/full/250,/0/default.jpg"
Joseph Lavoir de Repiton,"{""Artist"": ""Francis Rabineau, active 1791-1808"", ""Sitter"": ""Joseph Repiton""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1798""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.126.2_1],"https://ids.si.edu/ids/iiif/SAAM-1980.126.2_1/full/250,/0/default.jpg"
Josiah Hewes Anthony,"{""Artist"": ""James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831"", ""Sitter"": ""Josiah Hewes Anthony""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""1790""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1952.12.2_1],"https://ids.si.edu/ids/iiif/SAAM-1952.12.2_1/full/250,/0/default.jpg"
Juliana Westray Wood,"{""Artist"": ""Rembrandt Peale, 22 Feb 1778 - 3 Oct 1860"", ""Sitter"": ""Juliana Westray Wood, 1778 - 1838""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1811""}",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_81_120Wood_d1],"https://ids.si.edu/ids/iiif/NPG-NPG_81_120Wood_d1/full/250,/0/default.jpg"
La Natividad,"{""Artist"": ""Jos\u00e9 Campeche y Jord\u00e1n, born San Juan, Puerto Rico 1751-died San Juan, Puerto Rico 1809""}","{""Type"": ""Painting""}",,"{""Date"": ""ca. 1799""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.6_1],"https://ids.si.edu/ids/iiif/SAAM-1996.91.6_1/full/250,/0/default.jpg"
La Virgen del pilar,"{""Artist"": ""Jos\u00e9 Campeche y Jord\u00e1n, born San Juan, Puerto Rico 1751-died San Juan, Puerto Rico 1809""}","{""Type"": ""Painting""}",,"{""Date"": ""late 18th century""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.8_1],"https://ids.si.edu/ids/iiif/SAAM-1996.91.8_1/full/250,/0/default.jpg"
Landscape,"{""Artist"": ""Unidentified (British)"", ""Formerly attributed to"": ""Thomas Gainsborough, English, born Sudbury, England 1727-died London, England 1788""}","{""Type"": ""Painting""}",,"{""Date"": ""late 18th century""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.11.19_1],"https://ids.si.edu/ids/iiif/SAAM-1956.11.19_1/full/250,/0/default.jpg"
Lawrence Reid Yates,"{""Artist"": ""Walter Robertson, Irish, born Dublin, Ireland ca. 1750-died Fatehpur, India 1801/02"", ""Copy after"": ""Gilbert Stuart, born Saunderstown, Rhode Island Colony (now North Kingstown, RI) 1755-died Bosto"", ""Sitter"": ""Lawrence Reid Yates""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1794""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.1.3_1],"https://ids.si.edu/ids/iiif/SAAM-1956.1.3_1/full/250,/0/default.jpg"
Le Duc de Liancourt,"{""Artist"": ""Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827"", ""Sitter"": ""Duc de Liancourt""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca.1794-1797""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1974.87_1],"https://ids.si.edu/ids/iiif/SAAM-1974.87_1/full/250,/0/default.jpg"
"Louis-Guillaume Otto, comte de Mosloy","{""Artist"": ""Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827"", ""Sitter"": ""Comte de Mosloy Louis Guillaume Otto""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1780""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.6_1],"https://ids.si.edu/ids/iiif/SAAM-1999.87.6_1/full/250,/0/default.jpg"
Major-General Anthony Wayne,"{""Artist"": ""James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831"", ""Sitter"": ""Anthony Wayne""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.41_1],"https://ids.si.edu/ids/iiif/SAAM-1999.27.41_1/full/250,/0/default.jpg"
Margaret Spear Smith,"{""Artist"": ""Gilbert Stuart, 3 Dec 1755 - 9 Jul 1828"", ""Sitter"": ""Margaret Spear Smith, 1758 - 1842""}","{""Type"": ""Painting""}",,"{""Date"": ""c. 1800""}",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_66_64],"https://ids.si.edu/ids/iiif/NPG-S_NPG_66_64/full/250,/0/default.jpg"
Marguerite Repiton (Mrs. Joseph),"{""Artist"": ""Francis Rabineau, active 1791-1808"", ""Sitter"": ""Mrs. Joseph Repiton\nMarguerite Repiton""}","{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1798""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.126.3_1],"https://ids.si.edu/ids/iiif/SAAM-1980.126.3_1/full/250,/0/default.jpg"
Marine,"{""Artist"": ""Unidentified (British)"", ""Formerly attributed to"": ""Richard Parkes Bonington, English, born Arnold, England 1801/02-died London, England 1828""}","{""Type"": ""Painting""}",,"{""Date"": ""ca. 1802-1828""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.11.13_1],"https://ids.si.edu/ids/iiif/SAAM-1956.11.13_1/full/250,/0/default.jpg"
Mary Abigail Willing Coale,"{""Artist"": ""Thomas Sully, born Horncastle, England 1783-died Philadelphia, PA 1872"", ""Sitter"": ""Mary Abigail Willing Coale""}","{""Type"": ""Painting""}",,"{""Date"": ""1809""}",[https://ids.si.edu/ids/deliveryService?id=SAAM-1926.6.4_1],"https://ids.si.edu/ids/iiif/SAAM-1926.6.4_1/full/250,/0/default.jpg"
